weight,value
7,89
1,58
6,35
8,88
9,43
10,89
1,32
4,92
1,75
6,47
7,79
9,33
9,52
2,42
8,34
6,22
3,99
4,48
8,17
2,47
6,75
10,60
10,17
4,83
10,17
8,42
3,77
6,63
4,82
10,45
7,73
6,96
5,35
8,47
2,61
9,14
1,92
2,64
1,29
8,11
9,35
2,65
6,66
2,89
5,45
6,70
7,83
10,45
4,49
3,28
1,13
4,80
6,42
6,64
4,15
7,94
4,23
4,22
10,53
9,92
10,60
8,92
4,25
6,30
5,39
4,35
8,100
3,83
4,97
10,16
7,41
9,20
7,97
5,96
10,68
5,95
4,83
8,80
7,61
9,58
6,27
9,72
7,16
7,60
9,71
8,54
6,49
6,35
9,45
2,40
6,43
8,32
5,53
6,56
3,32
9,77
8,68
9,69
3,51
6,98
3,54
1,40
3,22
7,46
2,56
2,28
4,77
5,25
8,28
1,55
2,82
10,61
5,70
10,99
10,15
9,71
8,71
6,12
5,21
4,15
6,81
10,83
6,48
2,57
9,85
2,23
7,45
2,19
5,66
1,33
1,57
10,55
3,16
10,95
10,58
1,10
10,41
6,16
4,80
8,89
7,63
10,33
10,91
4,48
7,92
1,71
6,59
6,39
6,55
8,91
9,21
9,75
10,61
5,75
9,22
9,77
1,99
6,91
7,50
6,87
7,100
8,31
8,46
6,86
8,22
9,10
6,17
2,65
2,43
4,66
8,54
6,25
4,93
1,31
3,53
5,82
9,33
2,90
1,79
7,12
8,31
8,95
8,37
3,36
9,29
2,17
2,41
6,40
1,26
7,34
9,58
7,93
7,80
5,97
8,71
4,59
8,12
4,61
5,30
4,66
10,13
3,47
1,67
10,98
9,91
8,53
9,37
10,70
9,92
6,29
3,89
5,52
8,28
7,25
3,58
1,17
4,70
4,47
2,39
5,50
10,37
3,87
5,91
5,46
7,79
7,95
9,80
2,11
2,20
10,75
2,61
7,37
10,71
8,87
7,24
4,34
9,83
4,91
3,78
3,69
10,63
2,76
10,11
1,18
1,46
5,93
7,90
1,19
2,10
7,48
9,24
10,85
4,84
3,99
6,58
8,39
8,13
3,90
6,99
8,48
5,85
1,57
5,75
7,68
5,58
7,74
10,57
6,30
2,42
10,76
4,50
1,71
3,30
3,76
9,15
3,18
1,64
6,48
3,64
7,54
6,41
5,51
7,23
3,58
7,56
2,51
5,34
2,68
5,87
7,19
5,95
1,18
7,96
6,98
7,74
5,44
1,67
4,30
5,72
5,15
8,70
10,94
9,25
2,21
7,41
7,38
9,65
4,73
8,90
10,36
6,36
7,40
9,23
10,55
5,76
1,48
6,33
6,59
3,56
1,26
8,10
6,80
3,93
2,21
5,21
7,98
6,97
3,39
4,69
5,59
3,23
7,11
6,40
8,82
7,89
10,45
6,60
2,70
5,50
1,10
5,43
9,12
7,41
4,69
9,48
8,38
9,21
9,74
4,22
4,99
2,86
9,29
1,25
1,54
2,21
6,98
4,20
3,100
3,54
2,23
1,49
10,41
1,31
5,14
3,97
6,70
4,82
10,85
8,96
10,44
2,92
8,55
9,83
5,89
10,65
2,24
2,83
1,30
3,81
5,94
8,67
6,97
8,38
5,27
5,98
10,65
10,37
9,97
5,80
10,97
7,40
5,56
5,66
5,19
6,40
4,15
5,18
1,63
8,77
7,54
6,53
5,94
10,89
5,25
8,68
3,51
5,23
8,36
6,99
9,71
3,81
6,21
4,24
5,99
1,32
2,41
5,17
2,97
3,74
5,66
5,47
8,92
9,18
1,31
2,69
8,94
1,66
1,40
10,72
3,86
3,74
3,41
8,98
7,83
9,60
9,21
1,81
8,77
9,19
7,99
2,84
1,37
1,62
1,28
6,57
10,57
2,35
2,35
8,69
3,70
9,51
6,69
3,91
10,75
5,38
2,79
5,56
8,67
4,83
4,32
9,22
4,50
5,42
9,41
2,38
9,15
10,73
3,49
10,22
4,49
10,40
8,78
3,89
4,60
10,29
2,53
2,23
9,51
7,93
4,41
5,61
1,29
7,66
10,20
2,71
6,63
4,47
3,73
6,44
7,88
10,18
1,57
9,93
3,77
4,83
6,69
8,51
7,17
3,66
2,43
10,15
4,82
7,24
1,44
8,72
3,56
4,86
7,64
