"DateTime";"grid (77) (kw)";"solar (77) (kw)"
"2018-04-30 19:00:00";3,741;-0,008
"2018-04-30 19:15:00";1,848;-0,006
"2018-04-30 19:30:00";1,178;-0,005
"2018-04-30 19:45:00";1,163;-0,005
"2018-04-30 20:00:00";1,087;-0,006
"2018-04-30 20:15:00";2,716;-0,007
"2018-04-30 20:30:00";1,188;-0,006
"2018-04-30 20:45:00";0,77;-0,005
"2018-04-30 21:00:00";0,771;-0,006
"2018-04-30 21:15:00";0,613;-0,007
"2018-04-30 21:30:00";0,656;-0,007
"2018-04-30 21:45:00";0,869;-0,005
"2018-04-30 22:00:00";0,799;-0,006
"2018-04-30 22:15:00";0,778;-0,006
"2018-04-30 22:30:00";0,646;-0,008
"2018-04-30 22:45:00";0,556;-0,007
"2018-04-30 23:00:00";0,616;-0,006
"2018-04-30 23:15:00";0,608;-0,006
"2018-04-30 23:30:00";0,583;-0,006
"2018-04-30 23:45:00";0,451;-0,008
"2018-05-01 00:00:00";0,482;-0,007
"2018-05-01 00:15:00";0,61;-0,006
"2018-05-01 00:30:00";0,596;-0,006
"2018-05-01 00:45:00";0,621;-0,006
"2018-05-01 01:00:00";0,596;-0,006
"2018-05-01 01:15:00";0,572;-0,006
"2018-05-01 01:30:00";0,589;-0,006
"2018-05-01 01:45:00";0,575;-0,006
"2018-05-01 02:00:00";0,492;-0,005
"2018-05-01 02:15:00";0,384;-0,006
"2018-05-01 02:30:00";0,338;-0,006
"2018-05-01 02:45:00";0,425;-0,005
"2018-05-01 03:00:00";0,421;-0,006
"2018-05-01 03:15:00";0,412;-0,006
"2018-05-01 03:30:00";0,37;-0,006
"2018-05-01 03:45:00";0,338;-0,006
"2018-05-01 04:00:00";0,392;-0,005
"2018-05-01 04:15:00";0,328;-0,006
"2018-05-01 04:30:00";0,375;-0,006
"2018-05-01 04:45:00";0,356;-0,006
"2018-05-01 05:00:00";0,356;-0,006
"2018-05-01 05:15:00";0,431;-0,005
"2018-05-01 05:30:00";0,326;-0,006
"2018-05-01 05:45:00";0,335;-0,006
"2018-05-01 06:00:00";0,338;-0,006
"2018-05-01 06:15:00";0,386;-0,006
"2018-05-01 06:30:00";0,422;-0,006
"2018-05-01 06:45:00";0,325;-0,007
"2018-05-01 07:00:00";0,433;-0,006
"2018-05-01 07:15:00";0,529;-0,005
"2018-05-01 07:30:00";0,649;0,003
"2018-05-01 07:45:00";0,672;0,004
"2018-05-01 08:00:00";0,615;0,018
"2018-05-01 08:15:00";0,653;0,036
"2018-05-01 08:30:00";0,868;0,056
"2018-05-01 08:45:00";1,124;0,066
"2018-05-01 09:00:00";0,651;0,072
"2018-05-01 09:15:00";0,586;0,101
"2018-05-01 09:30:00";0,601;0,118
"2018-05-01 09:45:00";0,584;0,123
"2018-05-01 10:00:00";0,563;0,192
"2018-05-01 10:15:00";0,534;0,232
"2018-05-01 10:30:00";0,481;0,237
"2018-05-01 10:45:00";0,392;0,361
"2018-05-01 11:00:00";0,34;0,367
"2018-05-01 11:15:00";0,65;0,407
"2018-05-01 11:30:00";1,531;0,357
"2018-05-01 11:45:00";1,61;0,396
"2018-05-01 12:00:00";1,102;0,578
"2018-05-01 12:15:00";2,124;0,433
"2018-05-01 12:30:00";1,428;0,403
"2018-05-01 12:45:00";1,341;0,443
"2018-05-01 13:00:00";0,772;0,375
"2018-05-01 13:15:00";0,938;1,157
"2018-05-01 13:30:00";1,908;0,47
"2018-05-01 13:45:00";0,388;0,772
"2018-05-01 14:00:00";2,462;0,726
"2018-05-01 14:15:00";1,379;0,293
"2018-05-01 14:30:00";0,605;0,26
"2018-05-01 14:45:00";3,395;0,434
"2018-05-01 15:00:00";3,341;0,411
"2018-05-01 15:15:00";2,059;0,482
"2018-05-01 15:30:00";3,451;0,284
"2018-05-01 15:45:00";3,423;0,332
"2018-05-01 16:00:00";1,749;0,327
"2018-05-01 16:15:00";1,605;0,331
"2018-05-01 16:30:00";2,047;0,319
"2018-05-01 16:45:00";0,951;0,166
"2018-05-01 17:00:00";2,634;0,054
"2018-05-01 17:15:00";1,775;0,113
"2018-05-01 17:30:00";1,05;0,108
"2018-05-01 17:45:00";2,199;0,078
"2018-05-01 19:00:00";1,899;-0,003
"2018-05-01 19:15:00";3,985;-0,003
"2018-05-01 19:30:00";3,911;-0,003
"2018-05-01 19:45:00";2,978;-0,004
"2018-05-01 20:00:00";1,39;-0,004
"2018-05-01 20:15:00";1,452;-0,004
"2018-05-01 20:30:00";1,966;-0,004
"2018-05-01 20:45:00";1,947;-0,005
"2018-05-01 21:00:00";1,056;-0,005
"2018-05-01 21:15:00";3,67;-0,006
"2018-05-01 21:30:00";3,985;-0,003
"2018-05-01 21:45:00";1,863;-0,004
"2018-05-01 22:00:00";3,014;-0,005
"2018-05-01 22:15:00";3,641;-0,006
"2018-05-01 22:30:00";2,283;-0,006
"2018-05-01 22:45:00";2,932;-0,005
"2018-05-01 23:00:00";1,948;-0,005
"2018-05-01 23:15:00";2,035;-0,005
"2018-05-01 23:30:00";2,156;-0,008
"2018-05-01 23:45:00";0,839;-0,007
"2018-05-02 00:00:00";1,891;-0,007
"2018-05-02 00:15:00";1,882;-0,007
"2018-05-02 00:30:00";0,925;-0,006
"2018-05-02 00:45:00";1,172;-0,007
"2018-05-02 01:00:00";1,456;-0,007
"2018-05-02 01:15:00";0,715;-0,006
"2018-05-02 01:30:00";0,984;-0,007
"2018-05-02 01:45:00";1,268;-0,007
"2018-05-02 02:00:00";0,39;-0,007
"2018-05-02 02:15:00";1,102;-0,007
"2018-05-02 02:30:00";0,424;-0,006
"2018-05-02 02:45:00";1,056;-0,007
"2018-05-02 03:00:00";0,437;-0,006
"2018-05-02 03:15:00";1,16;-0,007
"2018-05-02 03:30:00";0,356;-0,007
"2018-05-02 03:45:00";1,109;-0,007
"2018-05-02 04:00:00";0,365;-0,007
"2018-05-02 04:15:00";1,107;-0,006
"2018-05-02 04:30:00";0,352;-0,007
"2018-05-02 04:45:00";1,039;-0,007
"2018-05-02 05:00:00";0,381;-0,007
"2018-05-02 05:15:00";0,648;-0,007
"2018-05-02 05:30:00";0,806;-0,006
"2018-05-02 05:45:00";0,346;-0,007
"2018-05-02 06:00:00";1,052;-0,007
"2018-05-02 06:15:00";0,49;-0,006
"2018-05-02 06:30:00";1,315;-0,006
"2018-05-02 06:45:00";0,643;-0,007
"2018-05-02 07:00:00";0,803;-0,006
"2018-05-02 07:15:00";0,787;-0,007
"2018-05-02 07:30:00";0,823;-0,006
"2018-05-02 07:45:00";0,826;0,008
"2018-05-02 08:00:00";0,842;0,014
"2018-05-02 08:15:00";0,805;0,031
"2018-05-02 08:30:00";0,704;0,036
"2018-05-02 08:45:00";0,92;0,038
"2018-05-02 09:00:00";0,86;0,038
"2018-05-02 09:15:00";0,754;0,139
"2018-05-02 09:30:00";0,707;0,165
"2018-05-02 09:45:00";0,55;0,332
"2018-05-02 10:00:00";0,547;0,389
"2018-05-02 10:15:00";0,676;0,217
"2018-05-02 10:30:00";0,382;0,513
"2018-05-02 10:45:00";0,081;0,788
"2018-05-02 11:00:00";0,336;0,538
"2018-05-02 11:15:00";0,235;0,549
"2018-05-02 11:30:00";0,308;0,606
"2018-05-02 11:45:00";0,369;0,635
"2018-05-02 12:00:00";0,494;0,489
"2018-05-02 12:15:00";0,11;0,869
"2018-05-02 12:30:00";0,499;1,224
"2018-05-02 12:45:00";-1,261;2,165
"2018-05-02 13:00:00";-0,168;2,012
"2018-05-02 13:15:00";0,355;2,039
